title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
データ乗っ取られました,/watch?v=djFH_Um4LIA,9,月チャンネル!,11,1日前,18,50
コラソン,/watch?v=6IPLaWavuOs,9,月チャンネル!,11,2日前,18,50
練乳アイスの音フェチーはじめての音フェチ,/watch?v=jLMTCNofqcg,10,月チャンネル!,11,3日前,18,56
はじめての音フェチやってみた,/watch?v=Q-qLClhJZRY,17,月チャンネル!,11,3日前,18,94
ごめんなさいポムポムさん許してくださいぴえん,/watch?v=bcXnCx-u04Y,19,月チャンネル!,11,3日前,18,106
ウスターソースちっちゃ,/watch?v=YuIqSEKfoNM,21,月チャンネル!,11,4日前,18,117
やってきた中で一番グロいゲームやってみたハッピーホイルズ,/watch?v=Pu1dCt2_Wkc,22,月チャンネル!,11,6日前,18,122
ウナ牛食いました,/watch?v=Z4n7EVk6YQE,25,月チャンネル!,11,1週間前,18,139
嵐を呼ぶ炎の春日部ランナーやってみた,/watch?v=nQJrTunmZgs,30,月チャンネル!,11,2週間前,18,167
スサノオ強すぎ,/watch?v=GVMBBVKjcOY,17,月チャンネル!,11,3週間前,18,94
