title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【美味】サーティーワンとポケモンコラボのアイスを食べながら最近思ってること語る,/watch?v=JpBzEeqDpHI,157,正直者大学生・のスケ,201,2週間前,743,21
現役美容師のお姉ちゃんね伸び切った髪を切ってもらってみた,/watch?v=0kwROFkc0YA,224,正直者大学生・のスケ,201,4週間前,743,30
給料が入ったので、大公開してみたんだけど！大学2年生にしては少なすぎ！？,/watch?v=evIDJVI3Sa8,231,正直者大学生・のスケ,201,1か月前,743,31
【Uber Eats】チャンネル登録者150人突破記念。ウーバーイーツでカレーナン頼んで食べた,/watch?v=ahLxNeLFb_c,173,正直者大学生・のスケ,201,1か月前,743,23
【報告】新しいチャンネル開設したのでチャンネル登録お願いします,/watch?v=erXInZadbn4,336,正直者大学生・のスケ,201,1か月前,743,45
【古着】新しい服着てお出かけする時ってテンションむっちゃ上がるよね？,/watch?v=YpDlncrSzy0,130,正直者大学生・のスケ,201,1か月前,743,17
【古着】正直者大学生がお金を使いたくなったので古着屋で爆買いした,/watch?v=vpKkZ0AfL5Q,335,正直者大学生・のスケ,201,1か月前,743,45
【ゆる〜い動画】正直者大学生が最近イライラしてること、報告したいことをゆる〜く語ってみた,/watch?v=_IaM8aCXgd4,97,正直者大学生・のスケ,201,1か月前,743,13
【パンケーキアート】絵には少しだけ自信のある正直者大学生がパンケーキアートに挑戦してみた,/watch?v=ld6rHaLVtZE,133,正直者大学生・のスケ,201,1か月前,743,18
【裏の裏は表】もともと不味いお菓子、賞味期限が切れてから食べたら逆に美味しくなる説,/watch?v=c7cradrnGXc,81,正直者大学生・のスケ,201,1か月前,743,11
【新作】エナジードリンク大好きな正直者大学生がモンスターエナジーウルトラパラダイスを飲んでみた,/watch?v=tXK9xXKgzSk,163,正直者大学生・のスケ,201,1か月前,743,22
【スタバ】正直者大学生がスタバでカスタムしてオレオフラペチーノ飲んでみた,/watch?v=ecOAaUl-ilM,212,正直者大学生・のスケ,201,1か月前,743,29
正直大学生がミシュラン一つ星のお店ティム・ホー・ワンに行ってみた,/watch?v=4sF_iWbOX08,131,正直者大学生・のスケ,201,1か月前,743,18
正直大学生が久々の都内への外出のため髪セットした,/watch?v=lHJ4gQaNmQc,96,正直者大学生・のスケ,201,1か月前,743,13
【眉毛】正直者大学生が垢抜けたいがために眉毛ブリーチしてみた,/watch?v=RaGBwTUvFGY,110,正直者大学生・のスケ,201,1か月前,743,15
【贅沢】正直大学生が高級ウニイクラ丼をお昼に食べてみた,/watch?v=PpUzdTjlFZs,109,正直者大学生・のスケ,201,1か月前,743,15
正直大学生が最近考えてることをゆる〜く話します。,/watch?v=Cp7MWM38qSw,70,正直者大学生・のスケ,201,1か月前,743,9
【激辛】正直大学生（辛いの苦手）がペヤング獄激辛を食べたらヤバいことになった,/watch?v=o8yw1tk8zfc,148,正直者大学生・のスケ,201,1か月前,743,20
【マック】正直大学生がマックの期間限定商品スパイシーチキンマックナゲットを食べてみた。,/watch?v=Hu205xLpgTc,117,正直者大学生・のスケ,201,2か月前,743,16
【海外のお菓子】正直大学生が海外のお菓子レインボーナーズを食べてみた,/watch?v=ZVFgoWoD7vI,495,正直者大学生・のスケ,201,2か月前,743,67
【ワニの肉】正直者大学生がAmazonでワニの肉を頼んで料理してみた,/watch?v=o-phMglcvf4,152,正直者大学生・のスケ,201,2か月前,743,20
【登録者100人】正直者大学生がチャンネル登録者100人突破記念で100円寿司魚べいに行ってみた,/watch?v=TidrGuusB7A,501,正直者大学生・のスケ,201,2か月前,743,67
【カップヌードルチャーハン】正直者大学生が姉に内緒でカップヌードルチャーハン振る舞ってみた,/watch?v=HWO9JnlqlMc,99,正直者大学生・のスケ,201,2か月前,743,13
【ネチョネチョ飴】正直者大学生がスライム飴を作って食べてみた。,/watch?v=KJysXInLGFI,816,正直者大学生・のスケ,201,2か月前,743,110
【龍のひげ】tiktokiで話題！龍の髭をハイチュウで作ってみた。,/watch?v=rFTXDcSw8zU,442,正直者大学生・のスケ,201,2か月前,743,59
【姉乱入】正直者大学生がカップヌードルカレー味に雪見だいふく入れて食べてみた。,/watch?v=LdqQqQ31SO0,161,正直者大学生・のスケ,201,2か月前,743,22
【モッパン？】辛いものが苦手な正直者大学生が韓国の辛い麺食べてみた。,/watch?v=VTib3CAofo0,174,正直者大学生・のスケ,201,2か月前,743,23
【ロールキャンディー】正直者の大学生が海外のお菓子紹介してみた！FRUIT BY THE FOOT,/watch?v=3tegfhnsENo,317,正直者大学生・のスケ,201,2か月前,743,43
【モッパン】韓国風混ぜ麺チーズタッカルビ味を正直者大学生（辛いの苦手）が食べてみた,/watch?v=LvWQjrT99ro,345,正直者大学生・のスケ,201,2か月前,743,46
チャンネル登録者50人突破記念でマックパーティーしました。【祝】,/watch?v=DoFTTQu_ZBU,150,正直者大学生・のスケ,201,2か月前,743,20
正直者の大学生がコムハニーをいろんな食べ方してみた。【ASMR?】【蜂の巣】,/watch?v=JB17m_LLb-M,168,正直者大学生・のスケ,201,2か月前,743,23
エナジードリンクZoNeを正直者大学生がレビューしてみた。【ZoNe】【ゾーン】,/watch?v=aRezOoUAAhc,225,正直者大学生・のスケ,201,2か月前,743,30
正直者大学生の苦手克服チャレンジPart２【キノコ】,/watch?v=QM8bq6xGezQ,46,正直者大学生・のスケ,201,3か月前,743,6
正直者の大学生が苦手なものを克服するため、ピーマンを食べてみた。【ピーマン】,/watch?v=K5UFEk3F0Ds,92,正直者大学生・のスケ,201,3か月前,743,12
一般大学生の武器紹介！！男の子のロマンを知って欲しい。,/watch?v=CXxxTIhoso4,59,正直者大学生・のスケ,201,3か月前,743,8
家にあるお宝紹介したらすごいものがあった！？【東方神起】【チャンミン】【최강창민】【浜辺美波】,/watch?v=a85gW7HDv8E,58,正直者大学生・のスケ,201,3か月前,743,8
チャンネル登録者２５人突破。お昼を食べながらおしゃべり【ありがとうございます】,/watch?v=3SS4NiKT52s,95,正直者大学生・のスケ,201,3か月前,743,13
ニートを離脱するべくバイトの面接に行ってきた。【バイト面接】【ニート？】,/watch?v=MpQGpRPmXOU,97,正直者大学生・のスケ,201,3か月前,743,13
母の日なので実家暮らし大学生が手料理ふるまってみた。【アクアパッツァ】【カルパッチョ】【アヒージョ】,/watch?v=i13NV5MEHOw,81,正直者大学生・のスケ,201,3か月前,743,11
Fラン大学生のオンライン授業の受け方（自分の部屋version）【teams】【zoom】,/watch?v=n2OdkmcpDgw,152,正直者大学生・のスケ,201,3か月前,743,20
Fランニート大学生のお昼ご飯。手作り飯？【外出自粛】【＃おうち時間】,/watch?v=LsuWnyU7KdU,79,正直者大学生・のスケ,201,3か月前,743,11
Fラン大学生のオンライン授業の受け方。【zoom】【teams】,/watch?v=MN6qqUnJAjI,886,正直者大学生・のスケ,201,3か月前,743,119
チャンネル登録者が３人から２人になった大学生の雑談【チャンネル登録】【＃おうち時間】,/watch?v=fFyVHiq8jzU,79,正直者大学生・のスケ,201,3か月前,743,11
正直者の大学生がワックスボトル食べてみた。【Wax Bottles】【ASMR？】,/watch?v=LoCc37zcXN4,26505,正直者大学生・のスケ,201,3か月前,743,3567
眼科行くついでにショッピングモールの現状確認してみた。,/watch?v=EGfHd3lafKM,82,正直者大学生・のスケ,201,3か月前,743,11
外出自粛中の男子大学生が久々に外の出て思ったこと、、【外出】,/watch?v=xMCS-Gy8HTg,80,正直者大学生・のスケ,201,3か月前,743,11
未成年大学生の一人飲み。【外出自粛】【＃おうち時間】【暇つぶし】,/watch?v=8MGThYmrYkw,123,正直者大学生・のスケ,201,3か月前,743,17
外出自粛中の大学生の暇つぶし【梨泰院クラス】【Netflix】,/watch?v=NSKoAuKTpiU,183,正直者大学生・のスケ,201,3か月前,743,25
【オンライン授業】外出自粛で学校に行けない大学生,/watch?v=f-qZWG6ec4c,200,正直者大学生・のスケ,201,3か月前,743,27
[CX-8]cx-8にペダルカバーを付けてみた。,/watch?v=disKhmfelnc,455,正直者大学生・のスケ,201,4か月前,743,61
CX–８にテレビキャンセラー付けてみた。[CX–８],/watch?v=uuYWIJnebw4,4243,正直者大学生・のスケ,201,4か月前,743,571
[CODモバイル]お家時間って何？,/watch?v=CAvkgOTY86I,27,正直者大学生・のスケ,201,4か月前,743,4
[CODモバイル] ００”世代の底力,/watch?v=gkE3S92EHyQ,58,正直者大学生・のスケ,201,4か月前,743,8
カニヘンダックスの手招き1分耐久,/watch?v=NraUk8YxQAk,44,正直者大学生・のスケ,201,5か月前,743,6
うちのペット犬(とら)が可愛すぎる件,/watch?v=VX3d-qwd2Xk,42,正直者大学生・のスケ,201,5か月前,743,6
