title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
パグロー（パグ犬）と向日葵（ひまわり）！,/watch?v=85IaFGV0BY0,228,清野幹[もとき]のパグライフ[Pug Life],375,,524,44
寝起きの悪いパグロー（パグ犬）！猫みたいな仕草が可愛い！,/watch?v=nHznKT4nZcQ,183,清野幹[もとき]のパグライフ[Pug Life],375,,524,35
梅雨明け！パグロー（パグ犬）の2度目の夏が始まりました！今年は水遊び、たくさんできるかな！？,/watch?v=gJ-clx4DOqA,245,清野幹[もとき]のパグライフ[Pug Life],375,,524,47
パグロークエスト！「スイカ岩との戦い」（パグ犬VSスイカ）,/watch?v=kMC7nhZd_Vs,260,清野幹[もとき]のパグライフ[Pug Life],375,,524,50
枝豆犬、シーズーのキキ！パグロー（パグ犬）も上手に枝豆を食べる事が出来るのか！？,/watch?v=8XVOqdJateY,334,清野幹[もとき]のパグライフ[Pug Life],375,,524,64
パグロー（パグ犬）のお食事&咀嚼音（そしゃくおん）！,/watch?v=vAHMusmGTT0,458,清野幹[もとき]のパグライフ[Pug Life],375,,524,87
パグロー（パグ犬）と田上町の護摩堂山あじさい園に行って来ました！凄く綺麗に咲き誇っていました！,/watch?v=5fWArmXsyV8,372,清野幹[もとき]のパグライフ[Pug Life],375,,524,71
【せいのPugちゅ〜るMV】あの有名CMのパロディにパグロー（パグ犬）が挑戦してみた！,/watch?v=_U7N1LdWcAI,403,清野幹[もとき]のパグライフ[Pug Life],375,,524,77
パグロー（パグ犬）をモニタリング！「飼い主が食べている物を、飼い主が居なくなっても食べずに待てるのか！？」を検証！,/watch?v=LaNXTjtt8lE,406,清野幹[もとき]のパグライフ[Pug Life],375,,524,77
ドッグランでパグロー（パグ犬）、大はしゃぎ！色んな犬種も登場！ちゃんと絡めるのか！？in 島見緑地,/watch?v=aTPJebSZk_s,544,清野幹[もとき]のパグライフ[Pug Life],375,,524,104
パグのパグローと川遊び！華麗な犬かき（パグかき）を披露してくれました！,/watch?v=K7_W3CfeSx4,335,清野幹[もとき]のパグライフ[Pug Life],375,,524,64
パグのパグローのファッションショー！パグローは服を着るのが嫌い！でも、せっかく買ったから着せてみた！,/watch?v=dU-O89DrN6o,356,清野幹[もとき]のパグライフ[Pug Life],375,,524,68
パグのパグローに晩酌後の飼い主がウザ絡み！しかし、睡眠欲より勝るものとは！？,/watch?v=Y-Uo-y1lO3M,461,清野幹[もとき]のパグライフ[Pug Life],375,,524,88
パグのパグロー、あのキャンプチャンネルと初コラボ！クリスさんと上手く絡めるのか！？「ミノクリちゃんねる」もよろしくね！,/watch?v=4VOV5y7aNVc,931,清野幹[もとき]のパグライフ[Pug Life],375,,524,178
パグのパグローにお友達を連れてきました！果たして仲良くなれるのでしょうか！？,/watch?v=lMoMINFTFt8,417,清野幹[もとき]のパグライフ[Pug Life],375,,524,80
帰宅したら、パグのパグローがめっちゃ甘えてきた！でも、最終的にスネた？！,/watch?v=vUq2LV_9aTc,773,清野幹[もとき]のパグライフ[Pug Life],375,,524,148
パグのパグローと姪っ子は大の仲良し！いつも楽しく遊んでいます^_^,/watch?v=9ZALEKYxxkI,617,清野幹[もとき]のパグライフ[Pug Life],375,,524,118
パグのパグローと、低山　登山散歩！元気いっぱいです。,/watch?v=muV_Ih5c9ys,477,清野幹[もとき]のパグライフ[Pug Life],375,,524,91
パグのパグローのカップシャッフルチャレンジ！パグロー（パグ犬）はカップの中から、おやつを探し出せるのか！？,/watch?v=gVgv_SeZm94,310,清野幹[もとき]のパグライフ[Pug Life],375,,524,59
「パグがウェイトレスをしてる喫茶店が、もしもあったら」　パグロー（パグ犬）が即興コントに初挑戦！,/watch?v=oVHU77Q_m2I,386,清野幹[もとき]のパグライフ[Pug Life],375,,524,74
パグのパグローに、ベルを鳴らすとおやつが出てくるシステムを覚えさせてみた！,/watch?v=DCaqA3aN1Oc,871,清野幹[もとき]のパグライフ[Pug Life],375,,524,166
「パグと田園と山々と夕陽」（環境動画だと思ってご覧下さい）,/watch?v=zpW3ZY-X6iE,343,清野幹[もとき]のパグライフ[Pug Life],375,,524,65
パグロー（パグ犬）とプロレスごっこ！うちで騒ごう！,/watch?v=2zJRa2OdRfY,357,清野幹[もとき]のパグライフ[Pug Life],375,,524,68
ドッグランでパグロー（パグ犬）とBBQ！初めてのスイカに舌鼓！,/watch?v=9c0n16udknQ,615,清野幹[もとき]のパグライフ[Pug Life],375,,524,117
