title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【食べるだけ】G系ラーメン！！【飯テロ】,/watch?v=3ywZ5pj8fH8,276,灰ねこ,121,1年前,413,67
【主婦が食べるだけ】二郎系ラーメン♡宅麺つかって夢を語れ東京を食べる！咀嚼音注意/飯テロ,/watch?v=bVyCIZftzVE,1293,灰ねこ,121,2年前,413,313
【主婦が食べるだけ】だいすきエビマヨ♡まろやかプリプリ/咀嚼音注意.飯テロ,/watch?v=gP9bZCEzCIc,493,灰ねこ,121,2年前,413,119
【主婦が食べるだけ】大大大好きなラーメン♡醤油豚骨ニンニク増し！音無し飯テロ,/watch?v=Mg4kWhlrQLQ,538,灰ねこ,121,2年前,413,130
【主婦がちょこっと食べる！】いかの姿あげ★ぼりぼりと。咀嚼音注意/ASMR【顔出しあり注意】,/watch?v=ZrDOHviCe_M,670,灰ねこ,121,2年前,413,162
【主婦が食べるだけっ】わらび餅白玉ぜんざい♡セブンイレブンデザート/咀嚼音注意,/watch?v=aYbPjNZu8AU,386,灰ねこ,121,2年前,413,93
【主婦が作って食べてみた！】流行りのチーズホットドッグ♡大失敗/咀嚼音注意,/watch?v=jTyx_H4xRrw,474,灰ねこ,121,2年前,413,115
【アイス食べるだけ★】白くまアイス♡咀嚼音注意/飯テロ,/watch?v=RaUHtFKb1io,223,灰ねこ,121,2年前,413,54
【主婦が食べるだけ】カップ焼きそば♡早食い？/咀嚼音注意【飯テロ】,/watch?v=bvzYpx2qLkg,494,灰ねこ,121,2年前,413,120
【主婦が食べるだけ♪】お弁当をおいしく食べる♡おかずたくさん/咀嚼音注意,/watch?v=OWczm1vY9fE,947,灰ねこ,121,2年前,413,229
【主婦が食べるだけ♪】タルタルと甘酢のハーモニー♡チキン南蛮！/咀嚼音注意,/watch?v=PVgBWEsqucs,1244,灰ねこ,121,2年前,413,301
【主婦が食べるだけwith飼い猫ちゃん】まろやか〜♡セブンイレブンクリーム明太パスタ！/咀嚼音注意,/watch?v=WNb9994fz_k,516,灰ねこ,121,2年前,413,125
【主婦が食べるだけ♪】大盛りカツカレー♡うますぎる/咀嚼音注意,/watch?v=BgsyxiUkmq8,955,灰ねこ,121,2年前,413,231
【主婦が食べるだけ♪】いきなりステーキ♡ビーフガーリックピラフ/咀嚼音注意,/watch?v=QBwg1MijMMQ,572,灰ねこ,121,2年前,413,138
【主婦が食べるだけ♪】アイラブからあげ♡毎日食べたい/咀嚼音注意,/watch?v=sFkNJN98bvk,670,灰ねこ,121,2年前,413,162
【主婦が食べるだけ♪】すき家の牛丼♡大盛りなんてへっちゃらさ/咀嚼音注意,/watch?v=SWVJyjbk2y0,789,灰ねこ,121,2年前,413,191
【おにぎり早食い】明太子おにぎり♡夜中に食べる罪悪感/咀嚼音注意【ただ食べるだけ】,/watch?v=WRi6feo5ETE,1061,灰ねこ,121,2年前,413,257
【ボツにするべき♡なただ食べるだけ♪】明太高菜炒飯♡超短動画/咀嚼音注意,/watch?v=E5uBGUqX4qc,204,灰ねこ,121,2年前,413,49
【主婦が食べるだけ♪】モスバーガー♡オニポテとモスチキン/咀嚼音注意,/watch?v=gnPX9ZwzX_g,482,灰ねこ,121,2年前,413,117
【主婦が食べるだけ♪】ソースとんかつ弁当♡とんかつは裏切らない/咀嚼音注意,/watch?v=1nP-QKep2uQ,979,灰ねこ,121,2年前,413,237
【主婦が食べるだけ♪】激辛！蒙古タンメン中本♡汁なし麻辛麺/咀嚼音注意,/watch?v=OJafp_xCjgQ,1135,灰ねこ,121,2年前,413,275
【主婦が食べるだけ♪】新発売チキン南蛮バーガー♡サラダチキン/咀嚼音注意,/watch?v=8C0WmCuyoeM,489,灰ねこ,121,2年前,413,118
【主婦が食べるだけ♪】コロッケとご飯♡最強コンビ！/咀嚼音注意,/watch?v=8FdXfqm__iU,986,灰ねこ,121,2年前,413,239
【主婦が食べるだけ♪】たらこパスタ♡早食い/咀嚼音注意,/watch?v=rfcXcYzm3i0,1657,灰ねこ,121,2年前,413,401
【主婦が食べるだけ♪】手作りカレー♡カレーは飲み物！/咀嚼音注意/,/watch?v=nfJZthvyICI,807,灰ねこ,121,2年前,413,195
【ラブライブ!】スクコレ感謝祭パック開封！そしたらまた出ちゃった！？,/watch?v=c4AOK1DlGn4,117,灰ねこ,121,2年前,413,28
【主婦が食べるだけ♪】コンビニおにぎり♡サラダ巻き/咀嚼音注意,/watch?v=Qo-WsVsDdy0,630,灰ねこ,121,2年前,413,153
【主婦が食べるだけ♪】みんな大好きのり弁♡咀嚼音注意,/watch?v=ZNX2BR9311o,809,灰ねこ,121,2年前,413,196
【主婦と豆苗】育てた豆苗で♪簡単1分クッキング♡,/watch?v=4HlDR_V6fSE,40,灰ねこ,121,2年前,413,10
【唐揚げ】主婦が食べるだけ！唐揚げ大好き♡咀嚼音注意,/watch?v=WndQMllGbKA,435,灰ねこ,121,2年前,413,105
【主婦が育てる】豆苗成長日記【前半】,/watch?v=_TA8O6CAR8E,27,灰ねこ,121,2年前,413,7
【食べるだけ】主婦とガリガリくんチョコミント！咀嚼音注意,/watch?v=DVolsXt0tlU,156,灰ねこ,121,2年前,413,38
【主婦が作る】明太子卵焼き【適当料理】,/watch?v=-az_-0NZ-F8,542,灰ねこ,121,2年前,413,131
ラブライブ!スクコレμ'sスペシャルパック開封でまさかの！？SEC出ちゃった！？,/watch?v=Nts-B0PLv_U,359,灰ねこ,121,2年前,413,87
【メインクーン】呼ぶと応えてくれるプルちゃん【プルちゃんではない】,/watch?v=574sWw4JlSU,33,灰ねこ,121,2年前,413,8
【4ヶ月】おしゃべりしながら飛行機ブーン【可愛い赤ちゃん】,/watch?v=V6aIUBulI8M,81,灰ねこ,121,2年前,413,20
【メインクーン】しっぽふりふり,/watch?v=qDiRLBF6QXQ,19,灰ねこ,121,2年前,413,5
【メインクーン】ひたすらに体を舐める【毛繕い】,/watch?v=wz2dQdatBN0,17,灰ねこ,121,2年前,413,4
【赤ちゃん】床をひっかく【無限カリカリ】,/watch?v=1ERYOYaBXlo,55,灰ねこ,121,2年前,413,13
【赤ちゃん】寝返り【右からも左からも】,/watch?v=Ctswhe_Ps6Q,32,灰ねこ,121,2年前,413,8
【3ヶ月】荒ぶる赤ちゃん,/watch?v=cucut_lGBqc,102,灰ねこ,121,2年前,413,25
【メインクーン】お風呂覗きにきた【そしてすぐ帰る】,/watch?v=F1DusG7OPzY,2599,灰ねこ,121,2年前,413,629
【赤ちゃんと猫】カリカリVSクネクネ【仲良し】,/watch?v=0VY8fa7daMs,43,灰ねこ,121,2年前,413,10
【赤ちゃん】ハイテンションお語り【超可愛い】,/watch?v=qlC-gKzyL7I,226,灰ねこ,121,2年前,413,55
【3ヶ月】寝返りできたよ【すっかり1人でできてきた】,/watch?v=U7MxyL8yxu4,25,灰ねこ,121,2年前,413,6
【メインクーン】寝てるだけ【可愛い猫】,/watch?v=BDuCFvqrLZY,34,灰ねこ,121,2年前,413,8
【メインクーン】なでなで【しつこいと噛む】,/watch?v=InbxVclKzNw,61,灰ねこ,121,2年前,413,15
【メインクーン】可愛いすぎる猫【座ってるだけ】,/watch?v=ZZCKlayACvU,38,灰ねこ,121,2年前,413,9
【3ヶ月】寝返り特訓中【なんとかできたよ】,/watch?v=4OxEZOPAQrg,34,灰ねこ,121,2年前,413,8
【3ヶ月】赤ちゃんの指しゃぶり【ぶさ可愛い】,/watch?v=nL2HjqW3Dtc,253,灰ねこ,121,2年前,413,61
【メインクーン】銀ちゃんの腕しゅぱしゅぱ【変な遊び】,/watch?v=Q7V5edCh89g,18,灰ねこ,121,2年前,413,4
【メインクーン】銀ちゃんのぴくぴく動画【寝てる】,/watch?v=bwLV2f01_BI,38,灰ねこ,121,2年前,413,9
【メインクーン】銀ちゃんとまたたび【初体験】,/watch?v=fQd7qidhZZA,458,灰ねこ,121,2年前,413,111
【メインクーン】銀ちゃんごろリンコン【発情期】,/watch?v=rqjeDe6MkZo,100,灰ねこ,121,2年前,413,24
【メインクーン】銀ちゃんお風呂覗きにきたシリーズ【その２】,/watch?v=1b7JNkEsGHY,36,灰ねこ,121,2年前,413,9
【メインクーン】銀ちゃんのふみふみ【甘えん坊】,/watch?v=e9nvvvldIUQ,15,灰ねこ,121,2年前,413,4
【メインクーン】銀ちゃんの給水所【水道】,/watch?v=kQSb64fPf9U,25,灰ねこ,121,2年前,413,6
【メインクーン】銀ちゃんお風呂覗きにきたシリーズ【覗き】,/watch?v=siIcD43-_Xk,85,灰ねこ,121,2年前,413,21
【メインクーン】銀ちゃんの1人遊び【ボールペン】,/watch?v=WSVBJveng2g,13,灰ねこ,121,3年前,413,3
【メインクーン】銀ちゃん噛みまくり【嫁の手】,/watch?v=66VZgzdbpyY,60,灰ねこ,121,3年前,413,15
【メインクーン】銀ちゃん1人遊び【猫じゃらし】,/watch?v=-shqkQ33i5g,25,灰ねこ,121,3年前,413,6
【メインクーン】銀ちゃんのご飯タイム【きゃわいい】,/watch?v=3B-KZVNJx4c,41,灰ねこ,121,3年前,413,10
メインクーン銀ちゃんへのビデオレターつくってみた。,/watch?v=QFzmftELnvk,27,灰ねこ,121,3年前,413,7
