title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】音フェチ　カフェでcoffee飲みながらパソコン作業　タイピングの音　雑音　作業BGM,/watch?v=8gH8pDY3oy0,1750,琴音kotone_,2060,,4371,40
【ASMR】音フェチ　雑談しながら　正しい半身浴の仕方　美容　雑音　作業BGM,/watch?v=7Avo9WJ5Xp0,1756,琴音kotone_,2060,,4371,40
【ASMR】音フェチ　ハートの風船ギュウ！っとリクエスト♡　囁き　作業BGM,/watch?v=urVs4Jxxtdg,6854,琴音kotone_,2060,,4371,157
【ASMR】音フェチ　耳舐めに聞こえちゃう？　OLコスプレ　おやつにフルーツを雑談しながら食べちゃう　咀嚼　作業BGM　Please wear headphones or earphones ：）,/watch?v=fTJ_eAwDX0A,21703,琴音kotone_,2060,,4371,497
【ASMR】音フェチ　寝起きで新しい歯磨き♪　リップ　囁き　地声出ちゃう　作業BGM,/watch?v=Xfhw0peYjcM,2022,琴音kotone_,2060,,4371,46
【ASMR】音フェチ　カリカリ食べちゃう　きゅうりのお漬物♪　咀嚼　囁き作業BGM,/watch?v=Oky2L7NfSXk,1508,琴音kotone_,2060,,4371,35
【ASMR】音フェチ　観覧注意！酔う人います。ヒールででヒールミニスカートでお出かけ！　吐息囁き　作業用BGM,/watch?v=U0ImoYB94CU,11809,琴音kotone_,2060,,4371,270
【アンパンマンと遊ぼう！】アンパンマンの沢山おお友達が出てくるよ♪　 Toy　アニメ,/watch?v=beFenZD9GzA,214,琴音kotone_,2060,,4371,5
【ASMR】音フェチ　琴音の小さいお友達＾＾　抱きしめるのだ♪　名前募集中　地声　作業BGM,/watch?v=0NOFouzV2Sc,651,琴音kotone_,2060,,4371,15
【アンパンマンと一緒に遊ぼう！】歌姫ドキンちゃん現る！アニメ　toy 作業BGM,/watch?v=sLo_CJ2YujI,200,琴音kotone_,2060,,4371,5
【美容】　簡単！　安い！　すぐできる！ネイルのお手入れ　１００均ダイソーの商品で　全部ケアしちゃう　作業BGM,/watch?v=P8HpDETPAC8,1339,琴音kotone_,2060,,4371,31
【アンパンマンと一緒に遊ぼう！】　みんなで楽しくリズムにのってね☆彡　アニメ　作業BGM,/watch?v=2ly90QipzjM,215,琴音kotone_,2060,,4371,5
【ASMR】音フェチ　バレンタイン ドッキリ企画　悲惨な結果に焦ったよ（；；）　囁き　雑音　作業BGM,/watch?v=e5CzlhMzzYk,1590,琴音kotone_,2060,,4371,36
【ASMR】音フェチ バレンタイン終わりましたね♪　愛が重いほどのプレゼントを贈られたらどうしますか？　囁き　作業BGM,/watch?v=XQxx3PQNCrc,2385,琴音kotone_,2060,,4371,55
【ASMR】音フェチ　バレンタイン本番日♪　チョコ貰えた？　琴音予定なしのパジャマトーク　囁き　作業BGM,/watch?v=tniCKmbpD7I,1482,琴音kotone_,2060,,4371,34
【ASMR】音フェチ　深夜に動画アップ♪　０時解禁バレンタインデー　チョコ選びどうする！？　すごく息が入ってしまって雑音交じりでごめんなさい！　囁き　作業BGM,/watch?v=lJBqZvOzLas,692,琴音kotone_,2060,,4371,16
【ASMR】音フェチ　手作り　バターメープルソルト味のポップコーン作ってみました♪　作業BGM,/watch?v=smjiSAnuR6s,367,琴音kotone_,2060,,4371,8
【ASMR】音フェチ　今日は外食　ランチにスパゲティを頂きました♪　無言　粗食　作業BGM,/watch?v=efCEf9z2xnI,786,琴音kotone_,2060,,4371,18
