title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】ミーノ咀嚼音,/watch?v=YdIAVnsa74I,58,癒音処いちご庵ASMR,109,3週間前,348,17
【ASMR】みたらし団子咀嚼音,/watch?v=Fy2h5gFbE4Q,75,癒音処いちご庵ASMR,109,1か月前,348,22
【ASMR】ケンタッキー咀嚼音,/watch?v=dqMMZVGgA70,77,癒音処いちご庵ASMR,109,1か月前,348,22
【ASMR】耳舐め20分,/watch?v=e_5lhxMok_k,1227,癒音処いちご庵ASMR,109,1か月前,348,353
【ASMR】じゃがりこ咀嚼音,/watch?v=FOYA6qgY9L0,74,癒音処いちご庵ASMR,109,1か月前,348,21
【ASMR】いちごの耳かき屋さん,/watch?v=CJd4VOOnSpA,111,癒音処いちご庵ASMR,109,1か月前,348,32
【ASMR】イヤホンマイクで耳舐め,/watch?v=IFCa3JNdEno,609,癒音処いちご庵ASMR,109,1か月前,348,175
【ASMR】ソフト耳舐め,/watch?v=GyJFC4F_BPQ,793,癒音処いちご庵ASMR,109,1か月前,348,228
【ASMR】焼きたてパン【咀嚼音】,/watch?v=Eo_8i-as-Uk,230,癒音処いちご庵ASMR,109,1か月前,348,66
(ASMR)おのまとぺ,/watch?v=ryZM0OdyM54,221,癒音処いちご庵ASMR,109,1か月前,348,64
