title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ミルワームの海にカエルを落としてみた結果,/watch?v=_EipjaDak9U,27126,真夜中のビバリウム,13600,1日前,57553,47
脱皮直前の大蛇を数時間水に漬けたら大変なことに...,/watch?v=Ekhipy3K6CI,37961,真夜中のビバリウム,13600,2日前,57553,66
子亀に大量のイトミミズが凝縮されたブロックを与えてみた,/watch?v=wZCCHpk9j3c,35217,真夜中のビバリウム,13600,3日前,57553,61
かわいすぎる水棲生物たちをお迎えしました,/watch?v=2-t20jFfnl4,55865,真夜中のビバリウム,13600,5日前,57553,97
うちで1番の暴れん坊のヘビの世話が怖すぎる,/watch?v=RT1qxD1KXvE,43693,真夜中のビバリウム,13600,1週間前,57553,76
マダガスカルの超凶暴ヤモリに噛まれた,/watch?v=-_PzMzIHzcA,26603,真夜中のビバリウム,13600,1週間前,57553,46
【LIVE】エサやる,/watch?v=EnkNnNpOlLU,17140,真夜中のビバリウム,13600,1週間前,57553,30
ヘビに亀のエサを与えてみた結果,/watch?v=bbLcvXsrKOY,39237,真夜中のビバリウム,13600,1週間前,57553,68
ラットの様子がおかしいので病院に連れて行った結果,/watch?v=8XX4Vz0STh0,44212,真夜中のビバリウム,13600,1週間前,57553,77
中南米の派手すぎるカエルをこねくり回したらかわいすぎた,/watch?v=8jQVOdKwYdY,32869,真夜中のビバリウム,13600,1週間前,57553,57
大蛇用ヘビマンション完成！大蛇をお引越しします,/watch?v=AM3dwvo6_l0,31165,真夜中のビバリウム,13600,2週間前,57553,54
子ガエルに大好物のコオロギを差し出してみると...かわいすぎた！,/watch?v=agXTDwSl13M,27646,真夜中のビバリウム,13600,2週間前,57553,48
通販である生物を買ったので開封します,/watch?v=w3K-W1gYR3o,54062,真夜中のビバリウム,13600,2週間前,57553,94
蛇が潜むケージにマウスを入れると・・・,/watch?v=gjwAYaYE2cM,43538,真夜中のビバリウム,13600,3週間前,57553,76
2.5mの大蛇に小さすぎるマウスを与えてみた結果...意外な結果に,/watch?v=kMAvaM1DPk8,32441,真夜中のビバリウム,13600,3週間前,57553,56
世界最大のニシキヘビの長さを測ろうとしたら大量の小便攻撃,/watch?v=WxE6OC5Mu-4,36836,真夜中のビバリウム,13600,3週間前,57553,64
かわいすぎるフクロウのヒナに餌やりをしてみた,/watch?v=ntFamO2NHHI,44999,真夜中のビバリウム,13600,3週間前,57553,78
奇形？いびつな形の尻尾を持つヘビ,/watch?v=1a_pu5-A9GU,23261,真夜中のビバリウム,13600,4週間前,57553,40
【ついに】我が家の大蛇用の自作ケージを作り始めました,/watch?v=vysZXj50WtE,17734,真夜中のビバリウム,13600,4週間前,57553,31
掃除待ちの怪力大蛇、遅すぎてブチギレる,/watch?v=_TRMlLWtbuQ,62828,真夜中のビバリウム,13600,1か月前,57553,109
夢中でトウモロコシをかじるネズミたちがかわいすぎた,/watch?v=WPV36FlwM9E,26531,真夜中のビバリウム,13600,1か月前,57553,46
凄まじい成長を続ける白ヘビの家をサイズアップしました,/watch?v=NI24EMQuKaY,32136,真夜中のビバリウム,13600,1か月前,57553,56
蛇の赤ちゃんの餌やりが大変すぎる,/watch?v=a6fODeR1oP8,30696,真夜中のビバリウム,13600,1か月前,57553,53
飼育しようとしていたフクロウについて,/watch?v=khBjS9XmJL8,48953,真夜中のビバリウム,13600,1か月前,57553,85
ケガをした蛇のその後,/watch?v=ivYcKHJN75E,17584,真夜中のビバリウム,13600,1か月前,57553,31
