title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Ice cake with bread簡単。食パンでアイスケーキ 簡単アレンジ料理レシピ 作り方,/watch?v=0RMIcxkP4Ds,141,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,51
Pizza grilled rice ballsピザチーズ風焼きおにぎり 簡単アレンジ料理レシピ 作り方,/watch?v=iS_eB-GYQmI,176,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,63
Somen mackerel[滋賀県長浜市]旨味が染むサバ缶で簡単!鯖そうめん 簡単アレンジ料理レシピ 作り方,/watch?v=kYTOpNHiDZY,173,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,62
Fruit sandwich mango激安フルーツサンド・マンゴー 簡単アレンジ料理レシピ 作り方,/watch?v=Ji9QjxGRzfM,185,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,66
"Ice sandwich,冷たくて甘いアイスサンド・メロンパン 簡単アレンジ料理レシピ 作り方",/watch?v=754sW_KrSnk,153,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,55
"tomato juice,冷製トマトジュース/インスタントラーメン/イタリアン 袋麺・簡単アレンジ料理レシピ 作り方 マルちゃん正麺",/watch?v=KdjKizb1m-c,217,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,78
"Korean egg toast,韓国で人気,お好み焼きエッグトースト アレンジトースト 簡単アレンジ料理レシピ 作り方",/watch?v=GLxDWCOBNXU,218,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,78
soumen with tomatoes.夏にぴったりトマトジュースそうめん 簡単アレンジ料理レシピ 作り方,/watch?v=i65RNHLH1TI,212,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,76
Cold tofu and tomato juice冷奴・トマトジュースで旨味倍増 豆腐・簡単アレンジ料理レシピ 作り方,/watch?v=1nwcpKhHWzg,793,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,284
Hiyajiru[宮崎]サバ缶で時短 冷や汁 ご飯・簡単アレンジ料理レシピ 作り方,/watch?v=sAwsgVR5jTA,244,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,87
"Infinitely eatable,tomato jelly,ひんやり無限トマトゼリー トマトジュースゼリー 簡単アレンジ料理レシピ 作り方",/watch?v=i_b6Mdvpxc4,256,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,92
"tomato jelly,sandwich,トマトゼリーと ゆで卵のサンドイッチ 簡単アレンジ料理レシピ 作り方",/watch?v=qP9FFRGHJ0M,250,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,90
"instant noodle,チーズが旨いインスタントラーメン 袋麺・簡単アレンジ料理レシピ 作り方 マルちゃん正麺",/watch?v=1wzb-IjEMo0,325,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,116
Korean Bacon Egg Toast韓国・ベーコンエッグトースト アレンジトースト・簡単アレンジ料理レシピ 作り方,/watch?v=QZfX2M6Lqr0,297,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,106
Cheese and cold tofu濃厚とろーり チーズ冷奴 豆腐・アレンジ料理レシピ 作り方,/watch?v=4GwX0_90iWU,267,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,96
Kimchi cooked rice簡単旨い!キムチの炊き込みご飯 炊飯器・簡単アレンジ料理レシピ 作り方,/watch?v=AYzSFjAYHhU,270,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,97
"Soup,mackerel canご飯にサバ缶,簡単旨い だし茶漬け。簡単アレンジ料理レシピ 作り方",/watch?v=KFyJjwG6LGo,261,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,94
"Korea,UFO,chicken意外と簡単!韓国UFOチキン,とろ～りチーズ 簡単レシピ 作り方",/watch?v=ESuV9p2kZ38,226,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,81
"Salad chicken,sandwich,サラダチキン・サンドイッチ 簡単アレンジ料理レシピ 作り方",/watch?v=NAFmZDvUdTk,285,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,102
"Infinitely eatable,cucumber,無限キュウリ・醤油,ニンニク,唐辛子 アレンジ料理レシピ 作り方",/watch?v=Qz3wHBnfbd0,275,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,99
"Cold noodle,instant noodle,インスタントラーメンで[韓国]冷麺 レシピ 作り方、マルちゃん正麺",/watch?v=ItHbTp5SXb4,611,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,219
Pig kimchi fried noodles甘辛さが癖に豚キムチ焼きそば 簡単アレンジ料理レシピ 作り方,/watch?v=SOMY3vVWD-c,273,"簡単アレンジ料理レシピEasy arrangement recipe,japanese ",8040,,279,98
