title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【奈良】裕キャン 宮の向いキャンプ場【ソロキャン】,/watch?v=YE5F44hQIW0,54,裕-Yuu,908,,121,45
【ギター】ピッキングハーモニクス【解説】,/watch?v=LA-zqmQqjGI,29,裕-Yuu,908,,121,24
"【VLOG】Osaka, Tennoji  / Shitennoji Temple [4K] 大阪 四天王寺",/watch?v=9sdgNAgfvvg,58,裕-Yuu,908,,121,48
【VLOG】Cafe FREUNDLIEB / KOBE【 神戸 カフェ フロインドリーブ 本店】,/watch?v=OxUQYcvylQY,45,裕-Yuu,908,,121,37
【超オススメ！】エフェクターのツマミ（ノブ）の固定方法！！,/watch?v=rYJDXi5RJZw,39,裕-Yuu,908,,121,32
【VLOG】Life with cats #4 マタタビをあげてみた【Norwegian Forest Cat 】(4K),/watch?v=0v18f2WmsjQ,101,裕-Yuu,908,,121,83
"【VLOG】吉祥寺 Starbucks Coffee""井の頭公園店""（4K）",/watch?v=XXu-Cp-iKe0,34,裕-Yuu,908,,121,28
【裕のサバゲー動画】高槻ボーダーゾーン vol.6【Combat Medic】,/watch?v=1GbTuwCTX1o,30,裕-Yuu,908,,121,25
【VLOG】Life with cats #3【Norwegian Forest Cat 】(4K),/watch?v=ucx3TTiqpdg,75,裕-Yuu,908,,121,62
【井の頭公園】ペパカフェ・フォレスト pepacafe FOREST 【吉祥寺】(4K),/watch?v=hbnRB8_Ebo8,36,裕-Yuu,908,,121,30
【VLOG】 Kichijoji - Inokashira Park - Ghibli Museum【TOKYO】(4K),/watch?v=WshXvd9TmhE,62,裕-Yuu,908,,121,51
"【VLOG】UMEDA Starbucks Coffee""LINKS UMEDA 2階店""",/watch?v=6D5YXGbfuLU,19,裕-Yuu,908,,121,16
"【Travel VLOG】UMEDA,OSAKA,JAPAN 【KANSAI】",/watch?v=rSIPQyhkEJs,51,裕-Yuu,908,,121,42
【VLOG】Life with cats #2【Norwegian Forest Cat 】,/watch?v=zdg8GWTBdbw,89,裕-Yuu,908,,121,74
【Arizona/Phoenix】フェニックスのメトロバスに乗った気分になれる動画(Valley Metro Bus),/watch?v=SBJscFferqk,39,裕-Yuu,908,,121,32
【Guitar Riffs】洋楽/邦楽 ギターリフ TOP20,/watch?v=karKjIa8tRE,101,裕-Yuu,908,,121,83
【裕のサバゲー動画】高槻ボーダーゾーン vol.5,/watch?v=9gvJfXK0J3A,20,裕-Yuu,908,,121,17
【VLOG】Life with cats #1【Norwegian Forest Cat 】,/watch?v=6T2A8LLM-9s,134,裕-Yuu,908,,121,111
〔Vlog〕THE SOUND BEE HD Live in Osaka【BigTwin Diner SHOVEL】,/watch?v=M3S38t469h0,124,裕-Yuu,908,,121,102
【Coronavirus】Mensaje de THE SOUND BEE HD(裕-Yuu-)  para la gente de México【COVID-19】,/watch?v=wjM_dD2UrVs,281,裕-Yuu,908,,121,232
【Yuu VLOG 】Osaka Japan 【SHINSAIBASH】-大阪心斎橋-,/watch?v=w0qCU1GEtrg,86,裕-Yuu,908,,121,71
【裕のサバゲー動画】高槻ボーダーゾーン vol.4,/watch?v=T2ICmKkA_bc,30,裕-Yuu,908,,121,25
【VLOG】スターバックスコーヒー 京阪京橋駅片町口店 （Starbucks Coffee）,/watch?v=6uny7HC5xcs,32,裕-Yuu,908,,121,26
【VLOG】スターバックス コーヒー 京橋 京阪モール店 【スタバ】,/watch?v=4EHMN69UIgk,33,裕-Yuu,908,,121,27
【裕のサバゲー動画】高槻ボーダーゾーン vol.3,/watch?v=nmn4LFEbisY,96,裕-Yuu,908,,121,79
【Vlog】評判のスターバックス大阪城公園森ノ宮店に行ってみた【Starbucks Coffee】,/watch?v=jxSGkX3wDKU,69,裕-Yuu,908,,121,57
【Vlog】燻製器でスモークフレーバーコーヒーを作ってみた in自宅【SOTO】,/watch?v=xT6350fvM1g,28,裕-Yuu,908,,121,23
【Vlog】弦楽器は力を入れてはいけない事の重要性の雑談【ギター ベース レッスン】,/watch?v=T1hC5xHiJAU,41,裕-Yuu,908,,121,34
【Vlog】逆アングルピッキング【ギター&ベース レッスン】,/watch?v=FTmq8kFqTZ4,74,裕-Yuu,908,,121,61
【vlog】ダウンピッキングを速く楽に弾く方法【ギター ベース レッスン】,/watch?v=B9rYpYctcPc,370,裕-Yuu,908,,121,306
【Vlog】 エフェクターやシールド等の掃除方法【シールド/エフェクター】,/watch?v=8ZZsm4UfOYY,34,裕-Yuu,908,,121,28
【Vlog】裕-Yuu-のエフェクターボード紹介,/watch?v=opW2is0pxrc,219,裕-Yuu,908,,121,181
【Vlog】アリゾナのシェラトンダウンタウンホテルに泊まってみた。（Sheraton Phoenix Downtown）,/watch?v=ovkKxzL5Ajc,9,裕-Yuu,908,,121,7
【Vlog】ダルゴナコーヒーに初挑戦【作り方】,/watch?v=5hbwEijVQWA,119,裕-Yuu,908,,121,98
【宮城県】Vlog ホテル法華クラブに泊まってみた【仙台市ビジネスホテル】,/watch?v=gDdVrxP90yg,174,裕-Yuu,908,,121,144
【カールコード VS カナレシールド 】比較（Curl Cable VS CANARE）【Jimi Hendrix Voodoo Child Cable】,/watch?v=rm-As90-AgM,51,裕-Yuu,908,,121,42
【Vlog】チューニングを安定させる工夫【ギター & ベース】,/watch?v=ZB719MtC6gU,47,裕-Yuu,908,,121,39
【THE SOUND BEE HD 】NO MORE COVID-19 Tシャツ 購入特典DVDダイジェスト,/watch?v=ov37D4k9CMo,148,裕-Yuu,908,,121,122
Milk 〜en 〜Ciel 「予感」【L'Arc 〜en 〜Ciel カバー】,/watch?v=-jzs0L90UFg,307,裕-Yuu,908,,121,254
【Vlog】エアー緩衝材で遊ぶ猫,/watch?v=q2po8jKkAiw,93,裕-Yuu,908,,121,77
"写真集「裕旅　ーアンコール遺跡群ー」特典音源""Angkor Wat""スポット",/watch?v=39HjV3fAbz0,66,裕-Yuu,908,,121,55
【vlog】ドリップパックコーヒー の淹れ方,/watch?v=kZ0de16WJYM,109,裕-Yuu,908,,121,90
【珈琲】マキネッタで コーヒー抽出【 エスプレッソ  直火】,/watch?v=qNVTgUo70yo,211,裕-Yuu,908,,121,174
【手抜き 簡単】 オーブントースターでコーヒー自家焙煎【珈琲 coffee 】,/watch?v=ahc4lnmWv3g,220,裕-Yuu,908,,121,182
裕-Yuu- 2nd音源「Notre Dame」SPOT,/watch?v=JZEOxiS5Gc0,193,裕-Yuu,908,,121,160
【緊急事態宣言後】大阪城公園のJO TERRACEの様子【新型コロナウィルス】,/watch?v=wWHfz9lSbGs,37,裕-Yuu,908,,121,31
【THE SOUND BEE HD】裕-Yuu- 本人が弾いてみた Bloody Requiem,/watch?v=eiGA2_hUrwA,205,裕-Yuu,908,,121,169
【新宿BLAZE】2020/2/8 THE SOUND BEE HD 裕-Yuu- の足元から【 Shinjuku BLAZE】,/watch?v=VH262jf5-4o,94,裕-Yuu,908,,121,78
【芦屋】ヨドコウ迎賓館[フランク・ロイド・ライト],/watch?v=Cibug5GZzRM,125,裕-Yuu,908,,121,103
仙台城 青葉城址 本丸会館へ行ってみた,/watch?v=F8o_z1JBWso,75,裕-Yuu,908,,121,62
【指の神経と脳を繋ぐ作業】ギター１日目から始めれる練習方法（クロマチックスケール）,/watch?v=dstjkyBinZo,73,裕-Yuu,908,,121,60
炭焼牛たん東山 仙台本店 （【旧店名】 うまい牛たん東山）,/watch?v=SSQSoky0nbg,84,裕-Yuu,908,,121,69
【仙台市】 瑞鳳殿（Zuihoden - Miyagi ）,/watch?v=JostQJpS0BY,77,裕-Yuu,908,,121,64
【仙台市】カフェ モーツァルト アトリエ （cafe Mozart Atelier）,/watch?v=kv0DL4ecIpc,185,裕-Yuu,908,,121,153
Knights of the Zodiac - Pegasus Seiya(Saint Seiya - Pegasus Fantasy) Cover【THE SOUND BEE HD  TNT38】,/watch?v=gK-Wlrg9Eyk,616,裕-Yuu,908,,121,509
【仙台】Cafe 青山文庫 -本と珈琲とインクの匂い-,/watch?v=nscy-Q_rz9M,58,裕-Yuu,908,,121,48
【日本最古の厄除の霊地】多井畑厄除八幡宮　【神戸 須磨】‎,/watch?v=UCdTnicQYzE,20,裕-Yuu,908,,121,17
【全部待ち時間0分！！】パルケスパーニャ【志摩スペイン村】,/watch?v=F50wHf6GgJw,582,裕-Yuu,908,,121,481
"【THE SOUND BEE HD】 Live from Mexico City 2019,TNT38",/watch?v=ZbPnP0WnMn4,284,裕-Yuu,908,,121,235
【THE SOUND BEE HD 裕-Yuu-の足元から視点】2020年02月17日 恵比寿 club aim,/watch?v=tkVwLsjyXcE,47,裕-Yuu,908,,121,39
女人高野 室生寺【奈良県宇陀市の寺社】Muro-ji Temple / Jinja Shrine,/watch?v=nNz0XydtT3c,80,裕-Yuu,908,,121,66
THE SOUND BEE HD 裕-Yuu- 【2020/02/07 仙台MACANA】,/watch?v=Gt2wKuCA8ZU,101,裕-Yuu,908,,121,83
【簡単】 スイートポテトタルト Sweet Potato Tart,/watch?v=CPt2LqH343M,167,裕-Yuu,908,,121,138
ギターの音が出なくなったので猫じゃらしで遊んだ件【THE SOUND BEE HD 裕-Yuu-】 1/22 K3にゃんイベ,/watch?v=Y166AIH5bOo,166,裕-Yuu,908,,121,137
【THE SOUND BEE HD 裕-Yuu-】 全身のパジャマ的な衣装でライブ　1/22 K3にゃんイベ,/watch?v=KUKSVeXDK3g,185,裕-Yuu,908,,121,153
【THE SOUND BEE HD 裕-Yuu-の足元から視点】2019年12月28日大塚Hearts+,/watch?v=xsW0WSSfmMY,61,裕-Yuu,908,,121,50
アリゾナ/フェニックスの楽器博物館(Musical Instrument Museum)へ行ってみた,/watch?v=cp2EyW0pK-0,27,裕-Yuu,908,,121,22
THE SOUND BEE HDアリゾナ/フェニックスツアーのオフショットDVD 特典 SPOT,/watch?v=wPqTQohlvWU,192,裕-Yuu,908,,121,159
【2020】Mensaje de THE SOUND BEE HD  para la gente de Mexico,/watch?v=O5jzApsgchg,113,裕-Yuu,908,,121,93
2020年Happy New Year! THE SOUND BEE HD 新年のご挨拶,/watch?v=Yw65ed3v14o,185,裕-Yuu,908,,121,153
【THE SOUND BEE HD】 Mensaje de Navidad para la gente de México,/watch?v=2S7lwKnjyYU,195,裕-Yuu,908,,121,161
【東京池袋】自由学園 明日館【フランク・ロイド・ライト】,/watch?v=7uUZ2h-Pzc0,104,裕-Yuu,908,,121,86
【THE SOUND BEE HD】New costume【English comment】,/watch?v=ee7YovlP_8o,128,裕-Yuu,908,,121,106
カラフルなメキシコの街並み,/watch?v=AarSjDIh-hE,58,裕-Yuu,908,,121,48
Mensaje de THE SOUND BEE HD  para la gente de Mexico,/watch?v=6nZSvJV8VY8,327,裕-Yuu,908,,121,270
PATISSERIE TOOTH TOOTH サロン･ド･テラス 旧居留地38番館店,/watch?v=oHrjzgyAoM0,75,裕-Yuu,908,,121,62
メキシコのスタバ！世界の美しすぎるスタバ17選に選出されたお店へ行ってみた,/watch?v=HFng6tZMbyU,99,裕-Yuu,908,,121,82
メキシコ国立人類学博物館へ行ってみた。　National Museum of Anthropology Mexico,/watch?v=W0CPKsvaySc,61,裕-Yuu,908,,121,50
