title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
メインチャンネルで出しそびれた野良猫動画まとめて配信,/watch?v=MC1hBwBN6Oc,190,野良猫チャンネル,2060,4週間前,273,70
漁港を歩いていたら野良猫達が寄ってきた,/watch?v=yNXsqTl0row,5010,野良猫チャンネル,2060,1か月前,273,1835
野良猫のお宅訪問,/watch?v=Xi0fV7Q0KXA,211,野良猫チャンネル,2060,1か月前,273,77
メインチャンネルで出しそびれた猫動画まとめて出します,/watch?v=ksLEjIOGpe4,182,野良猫チャンネル,2060,1か月前,273,67
撮りだめした野良猫動画をまとめて公開,/watch?v=9cS7NoG9JmE,146,野良猫チャンネル,2060,1か月前,273,53
スマホに溜まった野良猫動画をまとめて公開,/watch?v=CSVdmcz5JGE,115,野良猫チャンネル,2060,1か月前,273,42
スマホが満タンになったのでお蔵入り野良猫動画まとめ放出します,/watch?v=Unh8HY_pQUw,145,野良猫チャンネル,2060,1か月前,273,53
葉っぱを食べる猫,/watch?v=pmZD2qfzoC4,199,野良猫チャンネル,2060,1か月前,273,73
短い野良猫動画をまとめて出します,/watch?v=lprj5VZ3_iQ,165,野良猫チャンネル,2060,1か月前,273,60
今日の猫探し散歩,/watch?v=LdEGgaxLttU,175,野良猫チャンネル,2060,1か月前,273,64
スマホのストレージが満タンになったので野良猫動画まとめて公開します。,/watch?v=vBeGB9WCJ5c,147,野良猫チャンネル,2060,1か月前,273,54
【今日の猫散歩】夕方雨がやんだので港に行ってきた,/watch?v=BzEoP8rT0cs,277,野良猫チャンネル,2060,1か月前,273,101
今日の猫散歩　ダムの公園,/watch?v=ll3rRJeSG7c,173,野良猫チャンネル,2060,1か月前,273,63
今日の猫散歩　いつもの猫公園散歩,/watch?v=naxyHrlwpts,331,野良猫チャンネル,2060,1か月前,273,121
スマホに溜まった猫動画を一挙に放出します,/watch?v=OoIpMF-yyxs,159,野良猫チャンネル,2060,1か月前,273,58
漁港の野良猫達,/watch?v=gsjHCO2TuS0,152,野良猫チャンネル,2060,2か月前,273,56
YouTubeに出すほどでもない短い動画をまとめて出します,/watch?v=FbbPU0JRLeQ,169,野良猫チャンネル,2060,2か月前,273,62
スマホに溜まった猫動画をまとめて一挙公開,/watch?v=CfeYA1QlDms,171,野良猫チャンネル,2060,2か月前,273,63
海沿いの道で猫探し散歩してきた,/watch?v=HLlocFYsUq4,167,野良猫チャンネル,2060,2か月前,273,61
夜の公園で野良猫に出会った,/watch?v=HEdDTd6DfMA,296,野良猫チャンネル,2060,2か月前,273,108
自粛中で出番の無いgoproを使ってナイトラプス機能で部屋の窓から外を撮ってみた,/watch?v=BToiQ8YXG-s,232,野良猫チャンネル,2060,3か月前,273,85
猫の島に着いてすぐに出会った野良猫をナデナデした,/watch?v=8q1rdSaOjd8,287,野良猫チャンネル,2060,4か月前,273,105
公園の茶トラ猫がカワイイ,/watch?v=C41ZKByHT7M,385,野良猫チャンネル,2060,4か月前,273,141
猫島探索に行ってきた,/watch?v=fOZ80OFvz9c,280,野良猫チャンネル,2060,4か月前,273,103
ナデナデするとゴロンと横になる野良猫がカワイイ,/watch?v=jQAa5q7I2RY,268,野良猫チャンネル,2060,4か月前,273,98
公園にいたフワフワ長毛猫をナデナデしてきた,/watch?v=tBaZ62o_bFQ,192,野良猫チャンネル,2060,4か月前,273,70
人懐っこい三毛猫とキジトラ猫、ナデナデしたら膝の上に乗ってきた,/watch?v=k-4YO7UxOJo,237,野良猫チャンネル,2060,4か月前,273,87
人を見るとモフられに出てくる駐車場の野良猫がカワイイ,/watch?v=z7j75JkaMq8,174,野良猫チャンネル,2060,4か月前,273,64
