title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【いちごジャム】【手作り】【homemade】【strawberryjam】,/watch?v=mvSUtponHo8,14,難病ゆうchannel,48,1か月前,97,14
【トイプードル】オクラは食べるのか？,/watch?v=kNfcRDQRhvA,7,難病ゆうchannel,48,2か月前,97,7
【トイプードル】【待て】【キャベツ】,/watch?v=Hjf3cG0JbF4,10,難病ゆうchannel,48,3か月前,97,10
犬の心の声,/watch?v=NGiuXpHemYo,11,難病ゆうchannel,48,3か月前,97,11
【らっきょう漬けを作る】【Cooking 】,/watch?v=z84NQS1mYlI,10,難病ゆうchannel,48,3か月前,97,10
【筍餃子】を作る,/watch?v=p1uagI_gIjE,14,難病ゆうchannel,48,3か月前,97,14
【マクドナルド】を食べる,/watch?v=FUpratMQMm8,33,難病ゆうchannel,48,4か月前,97,34
【おやつの時間】【CHAI】【高知】,/watch?v=xQnlLIQOU18,14,難病ゆうchannel,48,5か月前,97,14
【ひな祭り】【ひな祭り料理】【３月3日】,/watch?v=ZvRWwRqn0iY,13,難病ゆうchannel,48,5か月前,97,13
【いたずら】【GODIVA】【バレンタインデー】,/watch?v=vL_EEILTsIE,16,難病ゆうchannel,48,5か月前,97,16
【雛祭り】【ひな人形】【桃の節句】,/watch?v=fJNsMKgpCi0,20,難病ゆうchannel,48,5か月前,97,21
【新大久保】【UFOチキン】【韓国グルメ】,/watch?v=UPm5J7hOU6M,77,難病ゆうchannel,48,6か月前,97,79
【百麺】娘とラーメンランチ,/watch?v=nYZ_ehRVyXs,95,難病ゆうchannel,48,6か月前,97,98
【ミョンランホットドッグ】日本初上陸！下北沢,/watch?v=GMYIixhzcOA,97,難病ゆうchannel,48,6か月前,97,100
【子どもとランチ】【オムニ食堂】【食べ歩き】【韓国料理】,/watch?v=hh3L_wddIWE,66,難病ゆうchannel,48,7か月前,97,68
【食べる動画】すき焼きを食べる【子どもとご飯】【咀嚼音】,/watch?v=5y8y8D6JPm8,66,難病ゆうchannel,48,7か月前,97,68
【クリスマスツリー】【Christmas tree】,/watch?v=_YXSltk-eMA,7,難病ゆうchannel,48,8か月前,97,7
【朝の薬】,/watch?v=sE2UqyzuF-o,28,難病ゆうchannel,48,8か月前,97,29
【入院生活】【入院食】備忘録,/watch?v=K9wHUChqD_Y,336,難病ゆうchannel,48,8か月前,97,346
【心臓手術しました】【心臓に穴開いてました】,/watch?v=d4SXprhMMsg,182,難病ゆうchannel,48,8か月前,97,188
【お好み焼き、もんじゃ】【okonomiyaki monjya 】,/watch?v=wR8AxJ5TGnI,22,難病ゆうchannel,48,1年前,97,23
【フレスコボール】【ゆるスコ】,/watch?v=YnesY4y3ehM,23,難病ゆうchannel,48,1年前,97,24
【タピスタ】,/watch?v=Lc38yoHemSU,199,難病ゆうchannel,48,1年前,97,205
【フレスコボール】【ゆるスコ】,/watch?v=RBZ8_I5uWNA,19,難病ゆうchannel,48,1年前,97,20
【Family Mart】【スフレ】【スペシャルティコーヒー】,/watch?v=0s6YGxWL-8s,29,難病ゆうchannel,48,1年前,97,30
【親子動画】〜おやつを食べる〜,/watch?v=gV5luZ43_OQ,44,難病ゆうchannel,48,1年前,97,45
【フレスコボール90秒チャレンジ】,/watch?v=scQttcVZS9I,23,難病ゆうchannel,48,1年前,97,24
【フレスコボール】【ゆるスコ】,/watch?v=3eOnIjpLpU8,16,難病ゆうchannel,48,1年前,97,16
【フレスコボール】練習動画,/watch?v=1dsJK0BOxDs,19,難病ゆうchannel,48,1年前,97,20
フレスコボール90秒チャレンジ,/watch?v=5wyjDnoMjTg,31,難病ゆうchannel,48,1年前,97,32
【筋トレ】,/watch?v=DkIktJ2uoxk,52,難病ゆうchannel,48,1年前,97,54
【nukumuku】〜三軒茶屋のパン屋さん〜,/watch?v=D35P_vegNxo,95,難病ゆうchannel,48,1年前,97,98
【新玉ねぎドレッシング】作ってみました,/watch?v=mthnrOAjd-Y,17,難病ゆうchannel,48,1年前,97,18
【車椅子でお出かけ】〜サポートは13歳の娘〜,/watch?v=IIjDYTTbVAM,84,難病ゆうchannel,48,1年前,97,87
【おやつ】〜チーズケーキ〜,/watch?v=EWMurM5FkVc,21,難病ゆうchannel,48,1年前,97,22
【書道パフォーマンス】第三弾,/watch?v=v9DO8Oi-IyQ,12,難病ゆうchannel,48,1年前,97,12
【うぐいすの鳴き声】,/watch?v=SKOVMKHBbF8,4,難病ゆうchannel,48,1年前,97,4
【書道パフォーマンス】【Japanese Shodo】,/watch?v=vBe8Nt51pvc,22,難病ゆうchannel,48,1年前,97,23
【書道パフォーマンス】,/watch?v=BCb3zwdfTLM,16,難病ゆうchannel,48,1年前,97,16
嵐5×20 雰囲気,/watch?v=_csJQr5Fv9w,883,難病ゆうchannel,48,1年前,97,910
嵐5×20 グッツ参戦時間,/watch?v=d9tABopuf8k,594,難病ゆうchannel,48,1年前,97,612
嵐5×20,/watch?v=t9XV4CEWFTU,169,難病ゆうchannel,48,1年前,97,174
犬の散歩〜Dog-walking〜,/watch?v=moQ3j2DUklQ,16,難病ゆうchannel,48,1年前,97,16
ここまで動けるようになりました,/watch?v=zHIqWfzt9WY,34,難病ゆうchannel,48,1年前,97,35
【もみ菜としらすのふりかけ】おにぎりでも美味しいよ！！！,/watch?v=8JXlEFsBJhE,52,難病ゆうchannel,48,1年前,97,54
【カルディー購入品紹介】〜色々あるよ〜,/watch?v=YLv-eyOaUDc,54,難病ゆうchannel,48,1年前,97,56
"【陶芸】【子ども食堂】〜〜Japanese Ceramic art,日本陶瓷藝術、도예〜,陶芸している動画〜",/watch?v=Sf3_fj6kXAg,90,難病ゆうchannel,48,1年前,97,93
#朝ごはん #ピラフ #eatingsound【子どもと朝ごはんを食べる】〜ピラフと残り物のおかず〜,/watch?v=Vz3VJtJ14wM,133,難病ゆうchannel,48,1年前,97,137
#マックシェイク #もも3種いれちゃいました #限定【マックシェイクもも3種いれちゃいました】〜早速のんでみました〜,/watch?v=SAUGKEtxQX0,111,難病ゆうchannel,48,1年前,97,114
#車椅子 #羽田空港 #沖縄【車椅子で沖縄旅行#1】〜空港で借りて出発するまで〜【難病ライフ】,/watch?v=46-eZHoSbRg,787,難病ゆうchannel,48,2年前,97,811
【沖縄限定お菓子を食べる】〜ロイズ石垣島、美ら豆〜,/watch?v=O4uZ9kVIs_U,190,難病ゆうchannel,48,2年前,97,196
【久しぶりの配信です】〜沖縄で静養してました〜【車椅子での空港】,/watch?v=HgSu-dgIK14,119,難病ゆうchannel,48,2年前,97,123
【台風の影響】〜症状出ている時こうなります〜【寝たまま話してます】,/watch?v=oaUtpcqyDgk,156,難病ゆうchannel,48,2年前,97,161
【ASMR】【アップルパイ食べてる動画】〜apple pie、蘋果派、애플 파이〜먹방、Mukbang~no talking~,/watch?v=v8Nu8OC_AlE,101,難病ゆうchannel,48,2年前,97,104
"【ASMR．咀嚼音】〜冷やし担々麺〜식힌 탄탄 면  cooled, tanmen. 〜食べてるだけトークなし、먹방、Mukbang~no talking~",/watch?v=M4HncjhDlgY,101,難病ゆうchannel,48,2年前,97,104
【1人のお昼のクセがひどい！】〜ワンプレートお昼〜,/watch?v=U8ELIvVmvBw,53,難病ゆうchannel,48,2年前,97,55
【ネイルしてもらいました】〜してもらっている動画〜,/watch?v=t_RmJptxGsE,72,難病ゆうchannel,48,2年前,97,74
【Wiiスポーツを親子でやってみた】〜母VS娘〜【Wii Sports】〜卓球〜,/watch?v=urIlU6HZP1E,86,難病ゆうchannel,48,2年前,97,89
【ピアスを作る】元とんねるずの追っかけしてました。〜木梨憲武さんのお店のチャームをピアスにしました〜,/watch?v=mWIFoifaZgQ,131,難病ゆうchannel,48,2年前,97,135
【犬の癒し動画】〜自分でかいてるつもり〜,/watch?v=HOHfLpbv_98,32,難病ゆうchannel,48,2年前,97,33
