title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #079,/watch?v=pRnqr29FVVo,15,音フェチ小林,40,1週間前,39,38
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #078,/watch?v=WmKgcpf9epg,10,音フェチ小林,40,1週間前,39,26
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #077,/watch?v=1jwYVLPJQoQ,13,音フェチ小林,40,1週間前,39,33
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #076,/watch?v=sTAMw6TqnH4,14,音フェチ小林,40,1週間前,39,36
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #075,/watch?v=7bPUUYo-QIk,6,音フェチ小林,40,1週間前,39,15
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #074,/watch?v=0lnV4jKNfKM,13,音フェチ小林,40,1週間前,39,33
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #072,/watch?v=uZLP45OG0gc,10,音フェチ小林,40,1週間前,39,26
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #073,/watch?v=FR_1gCEOZOc,26,音フェチ小林,40,2週間前,39,67
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #071,/watch?v=dZIR3dBlV9M,4,音フェチ小林,40,2週間前,39,10
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #070,/watch?v=iuVKL38kdY8,9,音フェチ小林,40,2週間前,39,23
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #069,/watch?v=akTD9K82UbY,19,音フェチ小林,40,2週間前,39,49
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #068,/watch?v=bM7S5ZFxFNE,9,音フェチ小林,40,2週間前,39,23
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #067,/watch?v=iNtEb8_4LTo,7,音フェチ小林,40,2週間前,39,18
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #066,/watch?v=apZ65Luoiig,22,音フェチ小林,40,3週間前,39,56
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #065,/watch?v=NHIFBM8ZLs4,14,音フェチ小林,40,3週間前,39,36
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #064,/watch?v=J5agRhZ1Zao,19,音フェチ小林,40,3週間前,39,49
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #063,/watch?v=IuLlDjL5rbo,9,音フェチ小林,40,3週間前,39,23
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #062,/watch?v=5Hc9b5Ej_ag,19,音フェチ小林,40,3週間前,39,49
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #061,/watch?v=vbPkcPdWTPE,5,音フェチ小林,40,3週間前,39,13
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #060,/watch?v=i0nqjvC0rYA,7,音フェチ小林,40,3週間前,39,18
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #059,/watch?v=zuqW3TwE6TU,13,音フェチ小林,40,4週間前,39,33
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #058,/watch?v=xJs7ugMkf2M,5,音フェチ小林,40,4週間前,39,13
살얼음 동동 냉모밀에 연어롤 연어초밥 먹방 ! 🍣 새우튀김까지 리얼사운드 naengmomil salmon fried shrimp mukbang ASMR #057,/watch?v=Ce5XeNzCSLE,10,音フェチ小林,40,4週間前,39,26
