title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】水と氷の音【音フェチ】,/watch?v=jz4vh7GCmkY,13,駅弁パンASMR,76,2日前,242,5
【ASMR】マイクを耳かき棒でひっかく音　硬めの音【音フェチ】,/watch?v=ZFhxE-lVvGM,34,駅弁パンASMR,76,2週間前,242,14
【ASMR】素手で耳マッサージ【音フェチ】,/watch?v=bdFz4DD2-uA,81,駅弁パンASMR,76,2週間前,242,33
GarageBandで遊んでたらクソみたいな曲が出来た,/watch?v=GHlLFhGjar0,13,駅弁パンASMR,76,3週間前,242,5
【Phigros】GOODTEKをやってみた,/watch?v=E5aFLX0O4cY,3,駅弁パンASMR,76,3週間前,242,1
【ASMR】袖で指耳かき【音フェチ】,/watch?v=23POs5QhpuE,73,駅弁パンASMR,76,1か月前,242,30
Arcaeaをやってみたらムズ過ぎた,/watch?v=ZuDzV2eu9UA,29,駅弁パンASMR,76,1か月前,242,12
【ASMR】タバコの箱タッピング　少し長め【音フェチ】,/watch?v=Rxu46-niI9Y,35,駅弁パンASMR,76,1か月前,242,14
【ASMR】耳をタッピング　長め【音フェチ】,/watch?v=oRaP5Bws0n0,56,駅弁パンASMR,76,1か月前,242,23
【ASMR】iPadとiPad proのタップ音【音フェチ】,/watch?v=wWS-P8vaoBQ,121,駅弁パンASMR,76,2か月前,242,50
【ASMR】紙コップをタッピング【音フェチ】,/watch?v=O8guA2hnWHY,91,駅弁パンASMR,76,2か月前,242,38
【雑ASMR】千円札を数える音【音フェチ】,/watch?v=wX0d58RuzQo,68,駅弁パンASMR,76,2か月前,242,28
はちみつトーストでフレンチトーストを作る,/watch?v=S_lIMi_fJ7M,13,駅弁パンASMR,76,2か月前,242,5
ツナカユリコって名前で青鬼やる【都市伝説】,/watch?v=J9ptAY0Y4TM,76,駅弁パンASMR,76,2か月前,242,31
【没ASMR】IQOSのクリーナーで耳掃除(？)【音フェチ】,/watch?v=at4kbaxLXVA,56,駅弁パンASMR,76,3か月前,242,23
【FNaF2】配信でクリアできなかった第6夜目をクリアした,/watch?v=ZAmwzNvXthc,8,駅弁パンASMR,76,3か月前,242,3
【Five Nights at Freddy's 2】第6，7夜目をやる,/watch?v=vaDnKfoNce0,31,駅弁パンASMR,76,3か月前,242,13
Five Nights at Freddy's2っていうゲームゲームやる,/watch?v=jPDezQvQ3uY,18,駅弁パンASMR,76,3か月前,242,7
【太鼓の達人】下手くそがワンダーモモーイをやってみた。,/watch?v=wzWqev5w6CU,31,駅弁パンASMR,76,4か月前,242,13
【ASMR】粘度が高めのローションで耳を触る【音フェチ】,/watch?v=KaeEvh04XUY,170,駅弁パンASMR,76,4か月前,242,70
【太鼓の達人】下手くそがゴーゴー・キッチン(裏)をやってみた,/watch?v=em7TsvMQsAY,79,駅弁パンASMR,76,4か月前,242,33
【ASMR】ローションで耳マッサージ(？)【音フェチ】,/watch?v=BApfv-MmD80,160,駅弁パンASMR,76,4か月前,242,66
【ASMR】ペットボトルの水を振る音【音フェチ】,/watch?v=zbqw5lGt03g,47,駅弁パンASMR,76,4か月前,242,19
【Muse Dash】下手くそがFREEDOM DiVE↓やってみた,/watch?v=zHcBu1elNKE,24,駅弁パンASMR,76,4か月前,242,10
Dark Deceptionっていうゲームやる,/watch?v=UmQiBoVKeag,14,駅弁パンASMR,76,4か月前,242,6
【ASMR】歯ブラシで耳掃除【音フェチ】,/watch?v=AsFJrm9fqZ4,46,駅弁パンASMR,76,4か月前,242,19
【ASMR】氷入りのコップに炭素飲料を注ぐ【音フェチ】,/watch?v=YKHKSd-4CBk,37,駅弁パンASMR,76,5か月前,242,15
【ASMR】ギャラクシースライムを触る音【音フェチ】,/watch?v=jApR2pG4e6g,16,駅弁パンASMR,76,5か月前,242,7
【ASMR】本のページをめくる音【音フェチ】,/watch?v=SYW4ebycLRM,37,駅弁パンASMR,76,5か月前,242,15
【ASMR】色々な物をタッピング【音フェチ】,/watch?v=iJq5ZZbo9ys,56,駅弁パンASMR,76,5か月前,242,23
【ASMR】Zippoライターの炎を見ながら耳マッサージ【音フェチ】,/watch?v=om0Uo2OGCBY,73,駅弁パンASMR,76,5か月前,242,30
【ASMR】手袋で耳を触る、手袋指耳かきの音【音フェチ】,/watch?v=jks1wXpgvyE,177,駅弁パンASMR,76,6か月前,242,73
【ASMR】ピ◯グーの耳マッサージ（？）【音フェチ】,/watch?v=MqRUBXzkd5w,49,駅弁パンASMR,76,6か月前,242,20
【ASMR】タオルで耳を触る。タオルで指耳かき【音フェチ】,/watch?v=Q9JnljLHb3c,194,駅弁パンASMR,76,6か月前,242,80
【太鼓の達人】下手クソが夢と希望をやってみた,/watch?v=3Il2j36X3jU,87,駅弁パンASMR,76,6か月前,242,36
厄村っていうゲームやる,/watch?v=e66Tzc1dnEU,8,駅弁パンASMR,76,6か月前,242,3
【ASMR？】何の音でしょう？,/watch?v=OTmFABqGosE,46,駅弁パンASMR,76,6か月前,242,19
【ASMR】泡で耳掃除(？)【音フェチ】,/watch?v=ioVhggJ6Lhw,180,駅弁パンASMR,76,6か月前,242,74
【ASMR】プロコンの音【音フェチ】,/watch?v=ZKqld75MXa0,212,駅弁パンASMR,76,7か月前,242,88
【ASMR】ハンドクリームで耳マッサージ（？）【音フェチ】,/watch?v=dzHXNbAAc1E,182,駅弁パンASMR,76,7か月前,242,75
【ASMR】新マイクでわたわた耳かき【音フェチ】,/watch?v=oBU2lph-suM,105,駅弁パンASMR,76,7か月前,242,43
