title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【開発者もびっくり！】りべんじ！ホラーゲーム？PIENで大絶叫ぴえん？！🥺🥺【音量注意 バイノーラル音声 ASMR】,/watch?v=YpZ0BVfRt4M,2097,黒咲りん,69400,6日前,31204,7
"【ASMR】黒咲がおもちばーを咀嚼するだけの作業用ASMR【咀嚼音, MUKBANG, Eating Sound】",/watch?v=uw4UTIGaPgM,19195,黒咲りん,69400,2週間前,31204,62
Vtuberがただセルフでネイルをしながら雑談ASMR風配信するだけの枠,/watch?v=2zl2Fw5MfFs,11280,黒咲りん,69400,2週間前,31204,36
"【ASMR】 雨音、炭酸、水音で耳を癒やす♡ 濃密マッサージ Sparkling Water, Rain sounds, Ear massage",/watch?v=Ggx67VZaGxU,16570,黒咲りん,69400,4週間前,31204,53
【罰ゲーム？】V(?)tuberのバッグの中身晒してみた。- What's in my Bag -,/watch?v=5IKwd00OfF4,40409,黒咲りん,69400,1か月前,31204,129
【ASMR】お耳を煽られ焦らされる、でもちょっと優しい（？）囁き/焦らしプレイ/睡眠導入/マッサージ/キス/耳はむ,/watch?v=yOPVRfoiyok,61988,黒咲りん,69400,1か月前,31204,199
【声楽歴10年の意地】高音厨音域テスト受験してみた【余裕の合格】,/watch?v=BT4E242wJAg,12421,黒咲りん,69400,1か月前,31204,40
[コスメ系]Vtuberが普段使ってるもの紹介します[夏Ver],/watch?v=GfPwT7iC4FQ,6459,黒咲りん,69400,1か月前,31204,21
"🔴[ASMR] 癒しの安眠耳かきマッサージ  Whispering, Ear Cleaning, Massage, Relax",/watch?v=jsRKmsN0ZFA,15461,黒咲りん,69400,1か月前,31204,50
【重大発表】6万人突破！感謝のASMR配信！お耳舐めの時間やで？ 囁き/耳マッサージ/耳舐め/Ear cleaning/Whispering,/watch?v=lMXzKxRg_NI,78117,黒咲りん,69400,2か月前,31204,250
【声楽歴10年の歌枠】インターネット老人会【アニソン/ボカロ/懐メロetc】,/watch?v=DpQyvEfJXwY,9075,黒咲りん,69400,2か月前,31204,29
【マシュマロ質問】前世の質問めっちゃきた。【回答します】,/watch?v=rvO30pfHASs,6370,黒咲りん,69400,2か月前,31204,20
【超健全】2.5次元 V(?)tuberがみたらし団子をただ食べるだけの動画【ASMR/モッパン/咀嚼音/MUKBANG/EatingSound】,/watch?v=ui4OoKV1hl0,37026,黒咲りん,69400,2か月前,31204,119
【削除注意】ど下ネタVtuber再襲来！この人センシティブにつき....【はなさきめろる 黒咲りん 関西弁女子会】,/watch?v=ZV6TQU4Yn7k,8930,黒咲りん,69400,関西弁女子会】作成者:2か月前,31204,29
【質問返し】ぎりぎりまで答えます♡,/watch?v=-8Mf-Df-qac,6866,黒咲りん,69400,2か月前,31204,22
[ASMR] おやすみ前にゆったり❤ 濃密●舐め脳内ぺろぺろ,/watch?v=K4CFlqYtoyI,65002,黒咲りん,69400,2か月前,31204,208
モンスターがキマりすぎて声真似しまくる黒咲りん【クロエのレクイエム 切り抜き動画】,/watch?v=FcV2bNLtZio,4605,黒咲りん,69400,2か月前,31204,15
耳元で煽られたい？関西弁ASMR耳舐め,/watch?v=puBW2Iw2U1A,145483,黒咲りん,69400,2か月前,31204,466
約3分でわかる汚らわしいメンヘ裸族黒咲りん【クロエのレクイエム切り抜き動画】,/watch?v=1XcEOJ8TG2Y,6158,黒咲りん,69400,3か月前,31204,20
【声楽歴10年の歌枠】しっぽりおやすみ歌配信,/watch?v=guHfyJa5nI8,8490,黒咲りん,69400,3か月前,31204,27
"モッパンASMR サクサク パリパリ和菓子の咀嚼音🍡 | Eating Sounds WAGASHI MUKBANG, 먹방",/watch?v=R8NvbjKKIco,19297,黒咲りん,69400,3か月前,31204,62
