title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【バイノーラル/ASMR】幸せな休日の過ごし方【電話、寝息、咀嚼音、お風呂、ささやき…etc】,/watch?v=lNdf5-OGfVA,141,＊ai⌒ai＊,145,1年前,2835,5
もっとも～っとおねぇちゃんと過ごすマスsample,/watch?v=qVsiqRA-ouY,236,＊ai⌒ai＊,145,1年前,2835,8
夏はベッドでのんびりしませんか？,/watch?v=qL8YtefnPdo,608,＊ai⌒ai＊,145,2年前,2835,21
ぼくっ子キツネと耳かきのもり,/watch?v=1_L9vWKERWA,471,＊ai⌒ai＊,145,2年前,2835,17
キミトナ。 君が隣にいるだけで,/watch?v=-SAivqsVb2k,100,＊ai⌒ai＊,145,2年前,2835,4
隣の大家さん,/watch?v=ehRLuDR3Mmk,2023,＊ai⌒ai＊,145,2年前,2835,71
こたつでのんびりしませんか？,/watch?v=SMx0gN7nN7U,447,＊ai⌒ai＊,145,2年前,2835,16
ス・ケ・ベ・な・こ・と～僕の上司は淫語女～,/watch?v=J-LvqDrpG2M,42196,＊ai⌒ai＊,145,2年前,2835,1488
もっとおねぇちゃんと過ごすマス【バイノーラル、料理、咀嚼音、生活音】トラック01「イブに現るおねぇちゃん」,/watch?v=lYO70cZkRIc,568,＊ai⌒ai＊,145,2年前,2835,20
正しい休日の過ごし方。サンプル,/watch?v=pWHEWFY2IjE,485,＊ai⌒ai＊,145,2年前,2835,17
おにゃのこゾンビに襲われるハロウィン★ナイト サンプル,/watch?v=lP0R1yZIpW0,735,＊ai⌒ai＊,145,2年前,2835,26
【雨音/癒し/バイノーラル】雨宿りの放課後。【髪拭き/肩たたき/肩もみ/マッサージ】サンプル,/watch?v=7jpRX9jneRc,515,＊ai⌒ai＊,145,2年前,2835,18
あなたの絵をほめてくれる音声。MIXサンプル,/watch?v=jM62CSDfwio,156,＊ai⌒ai＊,145,2年前,2835,6
きみのねいき。【バイノーラル録音/寝息/ウィスパーボイス】,/watch?v=OweXHqr93hg,420,＊ai⌒ai＊,145,3年前,2835,15
【耳かき】夢の世界の彼女。【バイノーラル】,/watch?v=nvFlrS_D9ZU,349,＊ai⌒ai＊,145,3年前,2835,12
【耳かき・マッサージ】フィーアのお宿【バイノーラル録音】,/watch?v=8UMnJn5svEc,486,＊ai⌒ai＊,145,3年前,2835,17
おやすみ前の基本の瞑想リラクゼーション,/watch?v=H0L3HX1U5j0,370,＊ai⌒ai＊,145,3年前,2835,13
【バイノーラル】おねぇちゃんと過ごすマス【クリスマス】,/watch?v=1JivELKsTjc,720,＊ai⌒ai＊,145,3年前,2835,25
